"","Year","Council","ClaimantsAsPropOf16_65Pop","ClaimantCountAged16_24AtMarch","Population16_24","Proportion16_24AreClaimants"
"315","2018/19","Shetland Islands",1.4,40,2183,1.8
"316","2018/19","South Ayrshire",4,560,10512,5.3
"317","2018/19","South Lanarkshire",3.6,1400,31409,4.5
"318","2018/19","Stirling",2.6,335,12728,2.6
"319","2018/19","West Dunbartonshire",4.2,395,8944,4.4
"320","2018/19","West Lothian",2.8,725,18575,3.9
"321","2019/20","Aberdeen City",2.7,815,26964,3
"322","2019/20","Aberdeenshire",1.8,655,22752,2.9
"323","2019/20","Angus",2.9,435,10717,4.1
"324","2019/20","Argyll and Bute",3,245,8181,3
"325","2019/20","Clackmannanshire",4.2,345,5097,6.8
"326","2019/20","Dumfries and Galloway",3.4,595,13169,4.5
"327","2019/20","Dundee City",4.5,985,20881,4.7
"328","2019/20","East Ayrshire",4.8,710,11779,6
"329","2019/20","East Dunbartonshire",1.9,245,10263,2.4
"330","2019/20","East Lothian",2.6,335,9729,3.4
"331","2019/20","East Renfrewshire",1.7,190,9562,2
"332","2019/20","City of Edinburgh",2,1125,64964,1.7
"333","2019/20","Na h-Eileanan Siar",3,65,2083,3.1
"334","2019/20","Falkirk",3.3,675,15575,4.3
"335","2019/20","Fife",3.8,1845,40061,4.6
"336","2019/20","Glasgow City",4.5,3410,79760,4.3
"337","2019/20","Highland",2.6,665,21239,3.1
"338","2019/20","Inverclyde",4.6,440,7607,5.8
"339","2019/20","Midlothian",2.6,325,8547,3.8
"340","2019/20","Moray",2.7,355,9272,3.8
"341","2019/20","North Ayrshire",5.5,870,13456,6.5
"342","2019/20","North Lanarkshire",3.8,1650,35916,4.6
"343","2019/20","Orkney Islands",1.5,45,1847,2.4
"344","2019/20","Perth and Kinross",2,360,13744,2.6
"345","2019/20","Renfrewshire",3.5,765,18058,4.2
"346","2019/20","Scottish Borders",2.8,430,10111,4.3
"347","2019/20","Shetland Islands",1.9,60,2082,2.9
"348","2019/20","South Ayrshire",4.2,570,10302,5.5
"349","2019/20","South Lanarkshire",3.5,1355,30800,4.4
"350","2019/20","Stirling",2.5,325,12313,2.6
"351","2019/20","West Dunbartonshire",5.2,565,8712,6.5
"352","2019/20","West Lothian",2.9,775,18179,4.3
"353","2020/21","Aberdeen City",6.2,1735,26343,6.6
"354","2020/21","Aberdeenshire",4.1,1330,22420,5.9
"355","2020/21","Angus",5.5,775,10612,7.3
"356","2020/21","Argyll and Bute",5.7,495,8121,6.1
"357","2020/21","Clackmannanshire",6.5,460,4965,9.3
"358","2020/21","Dumfries and Galloway",5.4,870,12791,6.8
"359","2020/21","Dundee City",7,1495,20568,7.3
"360","2020/21","East Ayrshire",7.5,1165,11548,10.1
"361","2020/21","East Dunbartonshire",4,490,10112,4.8
"362","2020/21","East Lothian",5.3,705,9559,7.4
"363","2020/21","East Renfrewshire",3.7,425,9583,4.4
"364","2020/21","City of Edinburgh",5,2925,64473,4.5
"365","2020/21","Na h-Eileanan Siar",5,120,2087,5.7
"366","2020/21","Falkirk",5.9,1255,15413,8.1
"367","2020/21","Fife",6.4,3065,39787,7.7
"368","2020/21","Glasgow City",8.1,6210,78893,7.9
"369","2020/21","Highland",5.4,1485,20937,7.1
"370","2020/21","Inverclyde",6.3,570,7420,7.7
"371","2020/21","Midlothian",5.4,680,8494,8
"372","2020/21","Moray",5.1,660,9019,7.3
"373","2020/21","North Ayrshire",8.3,1390,13130,10.6
"374","2020/21","North Lanarkshire",6.6,2900,35816,8.1
"375","2020/21","Orkney Islands",2.9,95,1793,5.3
"376","2020/21","Perth and Kinross",4.6,860,13644,6.3
"377","2020/21","Renfrewshire",6.3,1385,17820,7.8
"378","2020/21","Scottish Borders",5.4,780,10030,7.8
"379","2020/21","Shetland Islands",3.2,105,2068,5.1
"380","2020/21","South Ayrshire",7,965,10118,9.5
"381","2020/21","South Lanarkshire",6.3,2390,30514,7.8
"382","2020/21","Stirling",4.5,590,12156,4.9
